model,patient,sensitivity,precision,f1,fpr_per_hour,auprc,auprc_by_chance,n_test,n_test_pos,skipped
logistic,03,0.7765151515151515,0.09803921568627451,0.1740976645435244,235.78274760383388,0.2978019679009385,0.009167939991665508,57592,528,
logistic,04,0.15806988352745424,0.024005053695514846,0.04168037731709992,227.23744310892852,0.017921408991010846,0.009821625552568576,122383,1202,
logistic,05,0.4357142857142857,0.07176470588235294,0.12323232323232323,43.839422141964164,0.050053897344779844,0.0021607939374295813,64791,140,
logistic,06,0.49132176234979974,0.03851789826250785,0.07143550422207125,382.80316710654256,0.04775965082710953,0.008670185673936195,86388,749,
logistic,07,0.6897163120567376,0.13372292884152628,0.22401382090411748,157.52187803861648,0.25917140159524077,0.009793026809279067,57592,564,
logistic,10,0.8039295947605403,0.017666795599492663,0.03457381262542689,2730.5042366995413,0.15751206504048787,0.016967634393665786,143980,2443,
logistic,12,0.6675461741424802,0.4302721088435374,0.5232678386763185,90.20483614177184,0.627368500124513,0.028347954309893467,93587,2653,
logistic,13,0.9271477663230241,0.0744029562627544,0.1377514551210048,762.9241435047796,0.7519828576051205,0.018373764032883357,79189,1455,
logistic,16,0.9514360313315927,0.13356792024045158,0.23425044998714323,656.7023197666343,0.3022382913658974,0.02955657421555463,64791,1915,
logistic,18,0.7127872127872128,0.2460344827586207,0.36580364009228405,242.97819141547438,0.5318132835976497,0.030899353305243012,64791,2002,
random_forest,03,0.0,0.0,0.0,0.3750520905681345,0.16189718163440647,0.009167939991665508,57592,528,
random_forest,04,0.024958402662229616,0.11904761904761904,0.04126547455295736,6.530318753421635,0.028779572341202913,0.009821625552568576,122383,1202,
random_forest,05,0.02142857142857143,0.01935483870967742,0.020338983050847456,8.44561744686762,0.026153256586065717,0.0021607939374295813,64791,140,
random_forest,06,0.09212283044058744,0.5702479338842975,0.15862068965517243,2.1669676343936657,0.1999523665451581,0.008670185673936195,86388,749,
random_forest,07,0.03368794326241135,0.9047619047619048,0.06495726495726496,0.12501736352271148,0.4349429937345143,0.009793026809279067,57592,564,
random_forest,10,0.1174785100286533,0.24384027187765506,0.15856353591160222,22.25309070704264,0.10652888884526387,0.016967634393665786,143980,2443,
random_forest,12,0.34300791556728233,0.9956236323851203,0.5102326885337819,0.1538675243356449,0.6473695839165469,0.028347954309893467,93587,2653,
random_forest,13,0.6364261168384879,0.7504051863857374,0.6887318705838602,14.001944714543686,0.7323426209098484,0.018373764032883357,79189,1455,
random_forest,16,0.7869451697127937,0.9836814621409922,0.8743835219031042,1.3890818169190167,0.9183085785890626,0.02955657421555463,64791,1915,
random_forest,18,0.2722277722277722,0.9945255474452555,0.42745098039215684,0.166689818030282,0.5540670072580406,0.030899353305243012,64791,2002,
xgboost,03,0.8125,0.09443099273607748,0.16919739696312364,257.16071676621755,0.09523209829705458,0.009167939991665508,57592,528,
xgboost,04,0.21547420965058237,0.02961015205213216,0.05206553422454518,249.68173684253532,0.02912164526008975,0.009821625552568576,122383,1202,
xgboost,05,0.9357142857142857,0.016413983210124043,0.032262036694988304,436.1716905125712,0.08924375681421579,0.0021607939374295813,64791,140,
xgboost,06,0.6315086782376502,0.03245505695073418,0.06173725771715721,587.6232810112516,0.16503615625127957,0.008670185673936195,86388,749,
xgboost,07,0.6773049645390071,0.29566563467492263,0.41163793103448276,56.88290040283373,0.46531406701940836,0.009793026809279067,57592,564,
xgboost,10,0.7429390094146541,0.029217172936688077,0.05622328232451521,1507.8594249201276,0.34212049823670226,0.016967634393665786,143980,2443,
xgboost,12,0.7455710516396532,0.3042140879729314,0.43211359912616054,174.0241700236144,0.6983043992246377,0.028347954309893467,93587,2653,
xgboost,13,0.9601374570446736,0.04173263629574309,0.07998854852562268,1458.2934498478323,0.77645202230212,0.018373764032883357,79189,1455,
xgboost,16,0.9530026109660574,0.20936101869909374,0.34330323551542513,382.9420752882345,0.852591301944064,0.02955657421555463,64791,1915,
xgboost,18,0.6568431568431569,0.2204896042924212,0.330153150891288,258.3136546742603,0.5426297333195778,0.030899353305243012,64791,2002,
